[sync] starting: tasks=128 update_batch=4 max_new_tokens=96 dataset=data/gsm8k_train.jsonl
[sync][1/128 t= 21.7s] gen_s=21.708 tok_s=4.422 r=0.000 upd=0 pv=0
[sync][2/128 t= 24.4s] gen_s=2.670 tok_s=35.952 r=0.000 upd=0 pv=0
[sync][3/128 t= 27.1s] gen_s=2.728 tok_s=35.194 r=0.000 upd=0 pv=0
[sync][4/128 t= 37.2s] gen_s=2.695 tok_s=35.623 r=0.000 upd=1 pv=1
[sync][5/128 t= 39.9s] gen_s=2.702 tok_s=35.536 r=0.000 upd=1 pv=1
[sync][6/128 t= 42.6s] gen_s=2.705 tok_s=35.494 r=0.000 upd=1 pv=1
[sync][7/128 t= 45.3s] gen_s=2.630 tok_s=35.368 r=0.000 upd=1 pv=1
[sync][8/128 t= 48.5s] gen_s=2.724 tok_s=35.242 r=0.000 upd=2 pv=2
[sync][9/128 t= 51.2s] gen_s=2.701 tok_s=35.550 r=0.000 upd=2 pv=2
[sync][10/128 t= 53.8s] gen_s=2.696 tok_s=35.611 r=0.000 upd=2 pv=2
[sync][11/128 t= 56.5s] gen_s=2.701 tok_s=35.547 r=0.000 upd=2 pv=2
[sync][12/128 t= 59.7s] gen_s=2.731 tok_s=35.161 r=0.000 upd=3 pv=3
[sync][13/128 t= 62.5s] gen_s=2.745 tok_s=34.972 r=0.000 upd=3 pv=3
[sync][14/128 t= 65.1s] gen_s=2.694 tok_s=35.643 r=0.000 upd=3 pv=3
[sync][15/128 t= 67.8s] gen_s=2.700 tok_s=35.560 r=0.000 upd=3 pv=3
[sync][16/128 t= 71.0s] gen_s=2.707 tok_s=35.462 r=0.000 upd=4 pv=4
[sync][17/128 t= 73.7s] gen_s=2.721 tok_s=35.286 r=0.000 upd=4 pv=4
[sync][18/128 t= 76.4s] gen_s=2.694 tok_s=35.636 r=1.000 upd=4 pv=4
[sync][19/128 t= 79.1s] gen_s=2.707 tok_s=35.463 r=0.000 upd=4 pv=4
[sync][20/128 t= 82.3s] gen_s=2.747 tok_s=34.945 r=0.000 upd=5 pv=5
[sync][21/128 t= 85.0s] gen_s=2.707 tok_s=35.470 r=0.000 upd=5 pv=5
[sync][22/128 t= 87.7s] gen_s=2.701 tok_s=35.548 r=0.000 upd=5 pv=5
[sync][23/128 t= 90.4s] gen_s=2.697 tok_s=35.600 r=0.000 upd=5 pv=5
[sync][24/128 t= 93.6s] gen_s=2.743 tok_s=35.003 r=0.000 upd=6 pv=6
[sync][25/128 t= 96.3s] gen_s=2.713 tok_s=35.382 r=0.000 upd=6 pv=6
[sync][26/128 t= 99.0s] gen_s=2.702 tok_s=35.535 r=0.000 upd=6 pv=6
[sync][27/128 t=101.7s] gen_s=2.713 tok_s=35.390 r=0.000 upd=6 pv=6
[sync][28/128 t=104.8s] gen_s=2.711 tok_s=35.408 r=0.000 upd=7 pv=7
[sync][29/128 t=107.5s] gen_s=2.713 tok_s=35.388 r=0.000 upd=7 pv=7
[sync][30/128 t=110.2s] gen_s=2.695 tok_s=35.627 r=0.000 upd=7 pv=7
[sync][31/128 t=113.0s] gen_s=2.708 tok_s=35.451 r=0.000 upd=7 pv=7
[sync][32/128 t=116.1s] gen_s=2.762 tok_s=34.759 r=0.000 upd=8 pv=8
[sync][33/128 t=118.8s] gen_s=2.709 tok_s=35.439 r=0.000 upd=8 pv=8
[sync][34/128 t=121.6s] gen_s=2.713 tok_s=35.394 r=0.000 upd=8 pv=8
[sync][35/128 t=124.3s] gen_s=2.707 tok_s=35.470 r=0.000 upd=8 pv=8
[sync][36/128 t=127.5s] gen_s=2.793 tok_s=34.373 r=0.000 upd=9 pv=9
[sync][37/128 t=130.2s] gen_s=2.694 tok_s=35.642 r=0.000 upd=9 pv=9
[sync][38/128 t=132.9s] gen_s=2.708 tok_s=35.455 r=0.000 upd=9 pv=9
[sync][39/128 t=135.7s] gen_s=2.854 tok_s=33.639 r=0.000 upd=9 pv=9
[sync][40/128 t=138.9s] gen_s=2.759 tok_s=34.796 r=0.000 upd=10 pv=10
[sync][41/128 t=141.7s] gen_s=2.759 tok_s=34.799 r=0.000 upd=10 pv=10
[sync][42/128 t=144.4s] gen_s=2.754 tok_s=34.866 r=0.000 upd=10 pv=10
[sync][43/128 t=147.2s] gen_s=2.763 tok_s=34.751 r=0.000 upd=10 pv=10
[sync][44/128 t=150.4s] gen_s=2.773 tok_s=34.622 r=0.000 upd=11 pv=11
[sync][45/128 t=153.1s] gen_s=2.761 tok_s=34.770 r=0.000 upd=11 pv=11
[sync][46/128 t=155.9s] gen_s=2.757 tok_s=34.821 r=0.000 upd=11 pv=11
[sync][47/128 t=158.7s] gen_s=2.760 tok_s=34.786 r=0.000 upd=11 pv=11
[sync][48/128 t=161.9s] gen_s=2.779 tok_s=34.543 r=0.000 upd=12 pv=12
[sync][49/128 t=164.6s] gen_s=2.747 tok_s=34.946 r=0.000 upd=12 pv=12
[sync][50/128 t=167.3s] gen_s=2.725 tok_s=35.233 r=0.000 upd=12 pv=12
[sync][51/128 t=170.1s] gen_s=2.737 tok_s=35.072 r=0.000 upd=12 pv=12
[sync][52/128 t=173.3s] gen_s=2.764 tok_s=34.732 r=0.000 upd=13 pv=13
[sync][53/128 t=176.0s] gen_s=2.730 tok_s=35.170 r=0.000 upd=13 pv=13
[sync][54/128 t=178.7s] gen_s=2.723 tok_s=35.258 r=0.000 upd=13 pv=13
[sync][55/128 t=181.5s] gen_s=2.757 tok_s=34.830 r=0.000 upd=13 pv=13
